▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3465
- Network:       http://192.168.30.129:3465
✓ Ready in 1122ms

○ Compiling /[module] ...
 GET /dashboard 200 in 3.4s (next.js: 2.1s, generate-params: 2.1s, application-code: 1345ms)
 GET /action-inbox 200 in 330ms (next.js: 31ms, generate-params: 19ms, application-code: 299ms)
 GET /action-inbox 200 in 384ms (next.js: 30ms, generate-params: 20ms, application-code: 354ms)
 GET /settings 200 in 612ms (next.js: 26ms, generate-params: 16ms, application-code: 587ms)
 GET /settings 200 in 715ms (next.js: 9ms, generate-params: 57µs, application-code: 706ms)
 GET /staff-doctors 200 in 853ms (next.js: 57ms, generate-params: 26ms, application-code: 796ms)
 GET /staff-doctors 200 in 486ms (next.js: 6ms, generate-params: 85µs, application-code: 480ms)
 GET /staff-doctors?section=people 200 in 242ms (next.js: 20ms, generate-params: 14ms, application-code: 221ms)
 GET /staff-doctors?section=people 200 in 670ms (next.js: 14ms, generate-params: 73µs, application-code: 657ms)
 GET /staff-doctors?section=credentials 200 in 479ms (next.js: 18ms, generate-params: 9ms, application-code: 462ms)
 GET /staff-doctors?section=credentials 200 in 2.2s (next.js: 630ms, generate-params: 15ms, application-code: 1569ms)
 GET /staff-doctors?section=credentials 500 in 5.8s (next.js: 5.6s, generate-params: 35µs, application-code: 213ms)
 GET /staff-doctors?section=credentials 200 in 2.2s (next.js: 219ms, generate-params: 15ms, application-code: 1996ms)
 GET /roster 200 in 371ms (next.js: 8ms, generate-params: 61µs, application-code: 362ms)
 GET /roster 200 in 311ms (next.js: 21ms, generate-params: 14ms, application-code: 290ms)
 GET /roster 200 in 215ms (next.js: 25ms, generate-params: 106µs, application-code: 190ms)
 GET /roster?section=coverage 200 in 933ms (next.js: 14ms, generate-params: 53µs, application-code: 918ms)
 GET /roster?section=coverage 200 in 429ms (next.js: 28ms, generate-params: 18ms, application-code: 401ms)
 GET /roster?section=open-shifts 200 in 371ms (next.js: 10ms, generate-params: 128µs, application-code: 361ms)
 GET /roster?section=open-shifts 200 in 275ms (next.js: 29ms, generate-params: 17ms, application-code: 247ms)
 GET /time-attendance 200 in 1509ms (next.js: 32ms, generate-params: 900µs, application-code: 1478ms)
 GET /time-attendance 200 in 564ms (next.js: 19ms, generate-params: 15ms, application-code: 545ms)
 GET /time-attendance?section=timesheets 200 in 400ms (next.js: 40ms, generate-params: 21ms, application-code: 359ms)
 GET /time-attendance?section=timesheets 200 in 495ms (next.js: 5ms, generate-params: 42µs, application-code: 490ms)
 GET /time-attendance?section=approvals 200 in 325ms (next.js: 28ms, generate-params: 18ms, application-code: 297ms)
 GET /time-attendance?section=approvals 200 in 212ms (next.js: 11ms, generate-params: 58µs, application-code: 200ms)
 GET /staffpay?section=overview 200 in 432ms (next.js: 25ms, generate-params: 14ms, application-code: 408ms)
 GET /staffpay?section=overview 200 in 530ms (next.js: 18ms, generate-params: 13ms, application-code: 513ms)
 GET /staffpay?section=people 200 in 1086ms (next.js: 10ms, generate-params: 54µs, application-code: 1076ms)
 GET /staffpay?section=people 200 in 1332ms (next.js: 22ms, generate-params: 16ms, application-code: 1310ms)
 GET /staffpay?section=approval 200 in 362ms (next.js: 22ms, generate-params: 16ms, application-code: 340ms)
 GET /staffpay?section=approval 200 in 1016ms (next.js: 18ms, generate-params: 56µs, application-code: 998ms)
 GET /staffpay?section=export 200 in 648ms (next.js: 42ms, generate-params: 28ms, application-code: 606ms)
